OBJECTID,Neighborhood,Address,INVENTORY_DATE,SPECIES,MATURE_SIZE,FUNCTIONAL_TYPE,Condition,LATITUDE,LONGITUDE
1078,HAZELWOOD,"1225 NE 107TH PL, PORTLAND, OR, 97220",2022/09/28 00:00:00+00,"Quercus frainetto - Hungarian oak, Italian oak",Large,Broadleaf deciduous,Good,45.5319323,-122.552471
1081,HAZELWOOD,"10603 NE PACIFIC ST, PORTLAND, OR, 97220",2022/09/28 00:00:00+00,Quercus rubra - northern red oak,Large,Broadleaf deciduous,Good,45.52904137,-122.5536324
1097,HAZELWOOD,"1304 NE 110TH AVE, PORTLAND, OR, 97220",2022/09/28 00:00:00+00,"Quercus frainetto - Hungarian oak, Italian oak",Large,Broadleaf deciduous,Good,45.53208804,-122.5492343
1105,HAZELWOOD,"903 NE 111TH AVE, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52914271,-122.5484821
1122,HAZELWOOD,"10716 NE HASSALO ST, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.53055235,-122.5523766
1123,HAZELWOOD,"1026 NE 107TH PL, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Gymnocladus dioica - Kentucky coffee tree,Large,Broadleaf deciduous,Good,45.53024786,-122.5523835
1124,HAZELWOOD,"915 NE 108TH AVE, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,"Quercus frainetto - Hungarian oak, Italian oak",Large,Broadleaf deciduous,Good,45.52926967,-122.5514932
1127,HAZELWOOD,"1011 NE 108TH AVE, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.53001529,-122.5514705
1136,HAZELWOOD,"848 NE 109TH AVE, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Acer macrophyllum - bigleaf maple,Large,Broadleaf deciduous,Good,45.52873451,-122.5503259
1154,HAZELWOOD,"10716 NE HASSALO ST, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Excellent,45.5307558,-122.5520961
1155,HAZELWOOD,"10716 NE HASSALO ST, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.53075698,-122.5521912
1156,HAZELWOOD,"10716 NE HASSALO ST, PORTLAND, OR, 97220",2022/09/29 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.53075637,-122.5522868
1159,HAZELWOOD,"1111 S/ NE 99TH AVE, PORTLAND, OR, 97220",2022/10/03 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.53112987,-122.5634466
1160,HAZELWOOD,"1111 S/ NE 99TH AVE, PORTLAND, OR, 97220",2022/10/03 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.53102756,-122.5634064
1165,HAZELWOOD,"1111 S/ NE 99TH AVE, PORTLAND, OR, 97220",2022/10/03 00:00:00+00,Tilia spp. - linden or basswood,Large,Broadleaf deciduous,Good,45.53090598,-122.5640319
1181,HAZELWOOD,"1027 NE 110TH AVE, PORTLAND, OR, 97220",2022/10/06 00:00:00+00,Gleditsia spp. - honey locust,Large,Broadleaf deciduous,Good,45.53016374,-122.5494369
1187,HAZELWOOD,"1222 NE 102ND AVE, PORTLAND, OR, 97220",2022/10/07 00:00:00+00,Acer pseudoplatanus - sycamore maple,Large,Broadleaf deciduous,Good,45.53064072,-122.5556172
